DISTRICT CODE,DISTRICT NAME,PROPERTY ID,PROPERTY TYPE,HOUSE NUMBER,STREET NAME,SUBURB NAME,POSTCODE,PROPERTY DESCRIPTION,ZONE CODE,AREA,AREA TYPE,BASE DATE 1,LAND VALUE 1,AUTHORITY 1,BASIS 1,BASE DATE 2,LAND VALUE 2,AUTHORITY 2,BASIS 2,BASE DATE 3,LAND VALUE 3,AUTHORITY 3,BASIS 3,BASE DATE 4,LAND VALUE 4,AUTHORITY 4,BASIS 4,BASE DATE 5,LAND VALUE 5,AUTHORITY 5,BASIS 5
4,LAKE MACQUARIE,97388,NORMAL,15,HARMON DR,COORANBONG,2265,82/246011,R2,746.3,M,1/7/2017,245000,14A(1),6A(1),1/7/2016,214000,14A(1),6A(1),1/7/2015,190000,14A(1),6A(1),1/7/2014,162000,14A(1),6A(1),1/7/2013,153000,14A(1),6A(1)
4,LAKE MACQUARIE,97389,NORMAL,17,HARMON DR,COORANBONG,2265,81/246011,R2,757.5,M,1/7/2017,245000,14A(1),6A(1),1/7/2016,214000,14A(1),6A(1),1/7/2015,190000,14A(1),6A(1),1/7/2014,162000,14A(1),6A(1),1/7/2013,153000,14A(1),6A(1)
4,LAKE MACQUARIE,97390,NORMAL,19,HARMON DR,COORANBONG,2265,80/246011,R2,757.5,M,1/7/2017,245000,14A(1),6A(1),1/7/2016,214000,14A(1),6A(1),1/7/2015,190000,14A(1),6A(1),1/7/2014,162000,14A(1),6A(1),1/7/2013,153000,14A(1),6A(1)
4,LAKE MACQUARIE,97391,NORMAL,21,HARMON DR,COORANBONG,2265,79/246011,R2,749.5,M,1/7/2017,245000,14A(1),6A(1),1/7/2016,214000,14A(1),6A(1),1/7/2015,190000,14A(1),6A(1),1/7/2014,162000,14A(1),6A(1),1/7/2013,153000,14A(1),6A(1)
4,LAKE MACQUARIE,97392,NORMAL,20,HARMON DR,COORANBONG,2265,64/246011,R2,705.9,M,1/7/2017,223000,14A(1),6A(1),1/7/2016,214000,14A(1),6A(1),1/7/2015,190000,14A(1),6A(1),1/7/2014,162000,14A(1),6A(1),1/7/2013,153000,14A(1),6A(1)
4,LAKE MACQUARIE,97393,NORMAL,18,HARMON DR,COORANBONG,2265,63/246011,R2,706.2,M,1/7/2017,245000,14A(1),6A(1),1/7/2016,214000,14A(1),6A(1),1/7/2015,190000,14A(1),6A(1),1/7/2014,162000,14A(1),6A(1),1/7/2013,153000,14A(1),6A(1)
4,LAKE MACQUARIE,97394,NORMAL,16,HARMON DR,COORANBONG,2265,62/246011,R2,756.1,M,1/7/2017,245000,14A(1),6A(1),1/7/2016,214000,14A(1),6A(1),1/7/2015,190000,14A(1),6A(1),1/7/2014,162000,14A(1),6A(1),1/7/2013,153000,14A(1),6A(1)
4,LAKE MACQUARIE,97395,NORMAL,14,HARMON DR,COORANBONG,2265,61/246011,R2,697.3,M,1/7/2017,245000,14A(1),6A(1),1/7/2016,214000,14A(1),6A(1),1/7/2015,190000,14A(1),6A(1),1/7/2014,162000,14A(1),6A(1),1/7/2013,153000,14A(1),6A(1)
4,LAKE MACQUARIE,97396,NORMAL,12,HARMON DR,COORANBONG,2265,60/246011,R2,705.9,M,1/7/2017,245000,14A(1),6A(1),1/7/2016,214000,14A(1),6A(1),1/7/2015,190000,14A(1),6A(1),1/7/2014,162000,14A(1),6A(1),1/7/2013,153000,14A(1),6A(1)
4,LAKE MACQUARIE,97397,NORMAL,8,HARMON DR,COORANBONG,2265,23/246011,R2,743.5,M,1/7/2017,245000,14A(1),6A(1),1/7/2016,214000,14A(1),6A(1),1/7/2015,190000,14A(1),6A(1),1/7/2014,162000,14A(1),6A(1),1/7/2013,153000,14A(1),6A(1)
4,LAKE MACQUARIE,97398,NORMAL,22,CLIFFORD AVE,COORANBONG,2265,24/246011,R2,731,M,1/7/2017,245000,14A(1),6A(1),1/7/2016,214000,14A(1),6A(1),1/7/2015,190000,14A(1),6A(1),1/7/2014,162000,14A(1),6A(1),1/7/2013,153000,14A(1),6A(1)
4,LAKE MACQUARIE,97399,NORMAL,2,HIGHLAND AVE,COORANBONG,2265,9/1019060,R2,962.2,M,1/7/2017,247000,14A(1),6A(1),1/7/2016,216000,14A(1),6A(1),1/7/2015,192000,14A(1),6A(1),1/7/2014,164000,14A(1),6A(1),1/7/2013,155000,14A(1),6A(1)
4,LAKE MACQUARIE,97400,NORMAL,4,HIGHLAND AVE,COORANBONG,2265,8/1019060,R2,934,M,1/7/2017,247000,14A(1),6A(1),1/7/2016,216000,14A(1),6A(1),1/7/2015,192000,14A(1),6A(1),1/7/2014,164000,14A(1),6A(1),1/7/2013,155000,14A(1),6A(1)
4,LAKE MACQUARIE,97401,NORMAL,6B,HIGHLAND AVE,COORANBONG,2265,13/1019060,R2,1480,M,1/7/2017,7880,14A(1),6A(1),1/7/2016,6880,14A(1),6A(1),1/7/2015,6880,14A(1),6A(1),1/7/2014,5880,14A(1),6A(1),1/7/2013,5550,14A(1),6A(1)
4,LAKE MACQUARIE,97402,NORMAL,6,HIGHLAND AVE,COORANBONG,2265,12/1019060,R2,5.2,H,1/7/2017,865000,14A(1),6A(1),1/7/2016,824000,14A(1),6A(1),1/7/2015,740000,14A(1),6A(1),1/7/2014,630000,14A(1),6A(1),1/7/2013,630000,35B,6A(1)
4,LAKE MACQUARIE,97403,NORMAL,7,HIGHLAND AVE,COORANBONG,2265,7/1019060,R2,1271,M,1/7/2017,247000,14A(1),6A(1),1/7/2016,216000,14A(1),6A(1),1/7/2015,192000,14A(1),6A(1),1/7/2014,164000,14A(1),6A(1),1/7/2013,155000,14A(1),6A(1)
4,LAKE MACQUARIE,97404,NORMAL,5,HIGHLAND AVE,COORANBONG,2265,6/1019060,R2,1113,M,1/7/2017,247000,14A(1),6A(1),1/7/2016,216000,14A(1),6A(1),1/7/2015,192000,14A(1),6A(1),1/7/2014,164000,14A(1),6A(1),1/7/2013,155000,14A(1),6A(1)
4,LAKE MACQUARIE,97405,NORMAL,3,HIGHLAND AVE,COORANBONG,2265,5/1019060,R2,975.7,M,1/7/2017,247000,14A(1),6A(1),1/7/2016,216000,14A(1),6A(1),1/7/2015,192000,14A(1),6A(1),1/7/2014,164000,14A(1),6A(1),1/7/2013,155000,14A(1),6A(1)
4,LAKE MACQUARIE,97406,NORMAL,8,JACARANDA CL,COORANBONG,2265,14/805365,R2,721.2,M,1/7/2017,268000,14A(1),6A(1),1/7/2016,234000,14A(1),6A(1),1/7/2015,213000,14A(1),6A(1),1/7/2014,182000,14A(1),6A(1),1/7/2013,172000,14A(1),6A(1)
4,LAKE MACQUARIE,97407,NORMAL,10,JACARANDA CL,COORANBONG,2265,15/805365,R2,855,M,1/7/2017,268000,14A(1),6A(1),1/7/2016,234000,14A(1),6A(1),1/7/2015,213000,14A(1),6A(1),1/7/2014,182000,14A(1),6A(1),1/7/2013,172000,14A(1),6A(1)
4,LAKE MACQUARIE,97408,NORMAL,19,JACARANDA CL,COORANBONG,2265,16/805365,R2,748.7,M,1/7/2017,268000,14A(1),6A(1),1/7/2016,234000,14A(1),6A(1),1/7/2015,213000,14A(1),6A(1),1/7/2014,182000,14A(1),6A(1),1/7/2013,172000,14A(1),6A(1)
4,LAKE MACQUARIE,97409,NORMAL,17,JACARANDA CL,COORANBONG,2265,17/805365,R2,1053,M,1/7/2017,268000,14A(1),6A(1),1/7/2016,234000,14A(1),6A(1),1/7/2015,213000,14A(1),6A(1),1/7/2014,182000,14A(1),6A(1),1/7/2013,172000,14A(1),6A(1)
4,LAKE MACQUARIE,97410,NORMAL,15,JACARANDA CL,COORANBONG,2265,18/805365,R2,736.6,M,1/7/2017,235000,14A(1),6A(1),1/7/2016,209000,14A(1),6A(1),1/7/2015,190000,14A(1),6A(1),1/7/2014,162000,14A(1),6A(1),1/7/2013,153000,14A(1),6A(1)
4,LAKE MACQUARIE,97411,NORMAL,11,JACARANDA CL,COORANBONG,2265,19/805365,R2,643.7,M,1/7/2017,225000,14A(1),6A(1),1/7/2016,209000,14A(1),6A(1),1/7/2015,190000,14A(1),6A(1),1/7/2014,162000,14A(1),6A(1),1/7/2013,153000,14A(1),6A(1)
4,LAKE MACQUARIE,97412,NORMAL,9,JACARANDA CL,COORANBONG,2265,20/805365,R2,627.8,M,1/7/2017,223000,14A(1),6A(1),1/7/2016,209000,14A(1),6A(1),1/7/2015,190000,14A(1),6A(1),1/7/2014,162000,14A(1),6A(1),1/7/2013,153000,14A(1),6A(1)
4,LAKE MACQUARIE,97413,NORMAL,7,JACARANDA CL,COORANBONG,2265,21/805365,R2,704.4,M,1/7/2017,242000,14A(1),6A(1),1/7/2016,211000,14A(1),6A(1),1/7/2015,192000,14A(1),6A(1),1/7/2014,164000,14A(1),6A(1),1/7/2013,155000,14A(1),6A(1)
4,LAKE MACQUARIE,97414,NORMAL,5,JACARANDA CL,COORANBONG,2265,22/805365,R2,704.4,M,1/7/2017,242000,14A(1),6A(1),1/7/2016,211000,14A(1),6A(1),1/7/2015,192000,14A(1),6A(1),1/7/2014,164000,14A(1),6A(1),1/7/2013,155000,14A(1),6A(1)
4,LAKE MACQUARIE,97415,NORMAL,3,JACARANDA CL,COORANBONG,2265,23/805365,R2,741.1,M,1/7/2017,242000,14A(1),6A(1),1/7/2016,211000,14A(1),6A(1),1/7/2015,192000,14A(1),6A(1),1/7/2014,164000,14A(1),6A(1),1/7/2013,155000,14A(1),6A(1)
4,LAKE MACQUARIE,97416,NORMAL,1,JACARANDA CL,COORANBONG,2265,24/805365,R2,733.6,M,1/7/2017,242000,14A(1),6A(1),1/7/2016,211000,14A(1),6A(1),1/7/2015,192000,14A(1),6A(1),1/7/2014,164000,14A(1),6A(1),1/7/2013,155000,14A(1),6A(1)
4,LAKE MACQUARIE,97417,NORMAL,1,KENNEDY CL,COORANBONG,2265,16/865588,R2,608.7,M,1/7/2017,212000,14A(1),6A(1),1/7/2016,185000,14A(1),6A(1),1/7/2015,164000,14A(1),6A(1),1/7/2014,140000,14A(1),6A(1),1/7/2013,132000,14A(1),6A(1)
